EDGE STRESS n=100 witness_generation_failures=0 plan_passed=100 status_counts={'FEASIBLE': 100}
timing: mean=1.945s p50=0.311s p95=9.254s max=30.026s total=194.483s
--- per-case ---
case=000 elapsed=0.992s status=FEASIBLE
case=001 elapsed=0.093s status=FEASIBLE
case=002 elapsed=1.550s status=FEASIBLE
case=003 elapsed=0.437s status=FEASIBLE
case=004 elapsed=1.347s status=FEASIBLE
case=005 elapsed=0.168s status=FEASIBLE
case=006 elapsed=0.115s status=FEASIBLE
case=007 elapsed=0.186s status=FEASIBLE
case=008 elapsed=1.122s status=FEASIBLE
case=009 elapsed=0.613s status=FEASIBLE
case=010 elapsed=0.105s status=FEASIBLE
case=011 elapsed=9.254s status=FEASIBLE
case=012 elapsed=0.131s status=FEASIBLE
case=013 elapsed=0.210s status=FEASIBLE
case=014 elapsed=0.342s status=FEASIBLE
case=015 elapsed=1.029s status=FEASIBLE
case=016 elapsed=30.026s status=FEASIBLE
case=017 elapsed=1.056s status=FEASIBLE
case=018 elapsed=0.760s status=FEASIBLE
case=019 elapsed=0.219s status=FEASIBLE
case=020 elapsed=1.423s status=FEASIBLE
case=021 elapsed=0.084s status=FEASIBLE
case=022 elapsed=0.094s status=FEASIBLE
case=023 elapsed=0.770s status=FEASIBLE
case=024 elapsed=0.095s status=FEASIBLE
case=025 elapsed=0.100s status=FEASIBLE
case=026 elapsed=1.089s status=FEASIBLE
case=027 elapsed=0.202s status=FEASIBLE
case=028 elapsed=0.291s status=FEASIBLE
case=029 elapsed=0.224s status=FEASIBLE
case=030 elapsed=0.295s status=FEASIBLE
case=031 elapsed=0.136s status=FEASIBLE
case=032 elapsed=7.418s status=FEASIBLE
case=033 elapsed=0.347s status=FEASIBLE
case=034 elapsed=0.106s status=FEASIBLE
case=035 elapsed=0.193s status=FEASIBLE
case=036 elapsed=0.124s status=FEASIBLE
case=037 elapsed=1.643s status=FEASIBLE
case=038 elapsed=0.290s status=FEASIBLE
case=039 elapsed=1.286s status=FEASIBLE
case=040 elapsed=0.135s status=FEASIBLE
case=041 elapsed=0.158s status=FEASIBLE
case=042 elapsed=0.066s status=FEASIBLE
case=043 elapsed=6.911s status=FEASIBLE
case=044 elapsed=0.841s status=FEASIBLE
case=045 elapsed=19.890s status=FEASIBLE
case=046 elapsed=0.623s status=FEASIBLE
case=047 elapsed=0.934s status=FEASIBLE
case=048 elapsed=9.181s status=FEASIBLE
case=049 elapsed=0.115s status=FEASIBLE
case=050 elapsed=0.668s status=FEASIBLE
case=051 elapsed=0.093s status=FEASIBLE
case=052 elapsed=0.311s status=FEASIBLE
case=053 elapsed=0.153s status=FEASIBLE
case=054 elapsed=0.129s status=FEASIBLE
case=055 elapsed=1.220s status=FEASIBLE
case=056 elapsed=0.226s status=FEASIBLE
case=057 elapsed=6.946s status=FEASIBLE
case=058 elapsed=0.198s status=FEASIBLE
case=059 elapsed=1.205s status=FEASIBLE
case=060 elapsed=0.852s status=FEASIBLE
case=061 elapsed=1.987s status=FEASIBLE
case=062 elapsed=0.095s status=FEASIBLE
case=063 elapsed=0.687s status=FEASIBLE
case=064 elapsed=11.152s status=FEASIBLE
case=065 elapsed=0.215s status=FEASIBLE
case=066 elapsed=0.306s status=FEASIBLE
case=067 elapsed=0.189s status=FEASIBLE
case=068 elapsed=0.150s status=FEASIBLE
case=069 elapsed=0.108s status=FEASIBLE
case=070 elapsed=0.233s status=FEASIBLE
case=071 elapsed=6.380s status=FEASIBLE
case=072 elapsed=0.091s status=FEASIBLE
case=073 elapsed=0.639s status=FEASIBLE
case=074 elapsed=0.133s status=FEASIBLE
case=075 elapsed=1.245s status=FEASIBLE
case=076 elapsed=0.334s status=FEASIBLE
case=077 elapsed=0.410s status=FEASIBLE
case=078 elapsed=0.149s status=FEASIBLE
case=079 elapsed=0.103s status=FEASIBLE
case=080 elapsed=0.231s status=FEASIBLE
case=081 elapsed=0.131s status=FEASIBLE
case=082 elapsed=0.715s status=FEASIBLE
case=083 elapsed=0.104s status=FEASIBLE
case=084 elapsed=0.104s status=FEASIBLE
case=085 elapsed=0.624s status=FEASIBLE
case=086 elapsed=0.181s status=FEASIBLE
case=087 elapsed=0.094s status=FEASIBLE
case=088 elapsed=0.484s status=FEASIBLE
case=089 elapsed=18.270s status=FEASIBLE
case=090 elapsed=0.135s status=FEASIBLE
case=091 elapsed=1.946s status=FEASIBLE
case=092 elapsed=1.305s status=FEASIBLE
case=093 elapsed=1.912s status=FEASIBLE
case=094 elapsed=15.077s status=FEASIBLE
case=095 elapsed=2.564s status=FEASIBLE
case=096 elapsed=1.308s status=FEASIBLE
case=097 elapsed=1.779s status=FEASIBLE
case=098 elapsed=6.020s status=FEASIBLE
case=099 elapsed=0.077s status=FEASIBLE
